bitflips:;2697
Total SDCs:;787
Detected SDCs:;780
Crashes:;232
Simultaneous SDCs and Crashes:;0

FaultModels Undetected SDCs:
FaultModel ;#SDCs; percentage
Random bit-flip;7;0.8894536213468869

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Random bit-flip;780;99.11054637865311

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Random bit-flip;232;29.47903430749682

Variables that caused Undetected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
1.8867924528301887;106;2;f;newton_raphson.hpp;34
2.7777777777777777;72;2;fDiff;newton_raphson.hpp;45
11.11111111111111;9;1;mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
1.4285714285714286;70;1;f;newton_raphson.hpp;44
1.3333333333333335;75;1;results;newton_raphson_dup.cpp;28

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
80.37383177570094;214;172;x0;newton_raphson_dup.cpp;30
71.26436781609196;87;62;h;newton_raphson.hpp;36
77.41935483870968;62;48;df_x_too_small;newton_raphson.hpp;53
79.66101694915254;59;47;currIter;newton_raphson.hpp;55
28.666666666666668;150;43;results1;newton_raphson_dup.cpp;43
82.35294117647058;51;42;x;newton_raphson.hpp;50
69.81132075471697;53;37;found_root;newton_raphson.hpp;54
80.95238095238095;42;34;h;newton_raphson.hpp;47
42.028985507246375;69;29;f_x;newton_raphson.hpp;51
34.146341463414636;82;28;x;newton_raphson.hpp;35
13.19796954314721;197;26;x;newton_raphson_dup.cpp;13
11.585365853658537;164;19;results2;newton_raphson_dup.cpp;45
24.0;75;18;results;newton_raphson_dup.cpp;28
28.8135593220339;59;17;eps;newton_raphson.hpp;46
100.0;16;16;size;newton_raphson_dup.cpp;67
6.329113924050633;237;15;result;newton_raphson_dup.cpp;32
6.914893617021277;188;13;PI;newton_raphson_dup.cpp;16
100.0;12;12;i;newton_raphson_dup.cpp;68
22.22222222222222;54;12;delta;newton_raphson.hpp;46
5.347593582887701;187;10;A;newton_raphson_dup.cpp;15
100.0;9;9;sn;../sysdeps/ieee754/dbl-64/s_sin.c;221
11.428571428571429;70;8;df_x;newton_raphson.hpp;58
100.0;8;8;value;newton_raphson_dup.cpp;83
6.493506493506493;77;5;debug;newton_raphson.hpp;48
7.246376811594203;69;5;x0;newton_raphson.hpp;44
100.0;4;4;__for_end;newton_raphson_dup.cpp;0
100.0;4;4;ccs;../sysdeps/ieee754/dbl-64/s_sin.c;247
16.666666666666664;24;4;__x;/usr/include/c++/7/bits/std_abs.h;70
100.0;3;3;__p;/usr/include/c++/7/ext/new_allocator.h;116
100.0;3;3;set;../sysdeps/unix/sysv/linux/raise.c;39
100.0;3;3;__for_begin;newton_raphson_dup.cpp;0
100.0;2;2;__n;/usr/include/c++/7/bits/stl_vector.h;176
100.0;2;2;lock;abort.c;46
100.0;2;2;cs;../sysdeps/ieee754/dbl-64/s_sin.c;160
1.8867924528301887;106;2;f;newton_raphson.hpp;34
100.0;2;2;cs;../sysdeps/ieee754/dbl-64/s_sin.c;247
100.0;2;2;this;newton_raphson_dup.cpp;0
100.0;2;2;__p;/usr/include/c++/7/bits/stl_vector.h;176
100.0;2;2;__GI___abort_msg;abort.c;38
2.380952380952381;42;1;maxIter;newton_raphson.hpp;46
100.0;1;1;stage;abort.c;43
11.11111111111111;9;1;mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
100.0;1;1;__p;/usr/include/c++/7/bits/alloc_traits.h;461
100.0;1;1;sn;../sysdeps/ieee754/dbl-64/s_sin.c;247
50.0;2;1;x;../sysdeps/ieee754/dbl-64/s_sin.c;541
100.0;1;1;ap;../sysdeps/posix/libc_fatal.c;69
100.0;1;1;__for_range;newton_raphson_dup.cpp;0

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
95.23809523809523;42;40;maxIter;newton_raphson.hpp;46
16.822429906542055;214;36;x0;newton_raphson_dup.cpp;30
22.988505747126435;87;20;h;newton_raphson.hpp;36
17.92452830188679;106;19;f;newton_raphson.hpp;34
22.22222222222222;72;16;fDiff;newton_raphson.hpp;45
18.571428571428573;70;13;f;newton_raphson.hpp;44
17.741935483870968;62;11;df_x_too_small;newton_raphson.hpp;53
18.64406779661017;59;11;currIter;newton_raphson.hpp;55
20.754716981132077;53;11;found_root;newton_raphson.hpp;54
10.975609756097562;82;9;x;newton_raphson.hpp;35
17.647058823529413;51;9;x;newton_raphson.hpp;50
8.695652173913043;69;6;f_x;newton_raphson.hpp;51
14.285714285714285;42;6;h;newton_raphson.hpp;47
8.47457627118644;59;5;eps;newton_raphson.hpp;46
7.4074074074074066;54;4;delta;newton_raphson.hpp;46
2.666666666666667;150;4;results1;newton_raphson_dup.cpp;43
5.333333333333334;75;4;results;newton_raphson_dup.cpp;28
1.5228426395939088;197;3;x;newton_raphson_dup.cpp;13
1.8292682926829267;164;3;results2;newton_raphson_dup.cpp;45
1.4285714285714286;70;1;df_x;newton_raphson.hpp;58
11.11111111111111;9;1;mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
